,금융회사,상품명,적립방식,세전이자율,최고우대금리,가입대상,이자계산방식,우대조건,가입방법,만기후이자율,기타유의사항,개월수,상품종류
1116,청주저축은행,정기예금_천안지점,,3.80%,3.90%,제한없음,복리,"대면 재예치시 적용금리 +0.1%p (단, 가입기간 12개월에 한함)",영업점,"1개월 이내 : 만기시 동일상품 동일계약기간의 신규 약정금리, 1개월 초과 : 보통예금 이율",상품 문의 ☎ 041-522-9114,12,예금
1117,청주저축은행,정기예금_천안지점,,3.80%,3.90%,제한없음,단리,"대면 재예치시 적용금리 +0.1%p (단, 가입기간 12개월에 한함)",영업점,"1개월 이내 : 만기시 동일상품 동일계약기간의 신규 약정금리, 1개월 초과 : 보통예금 이율",상품 문의 ☎ 041-522-9114,12,예금
1118,BNK저축은행,삼삼한정기예금(회전정기예금)(1년단위 변동금리),,3.90%,3.90%,제한없음,단리,해당없음,"영업점,인터넷,스마트폰",* 1개월내 : 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용* 1개월이후: 보통예금 금리 적용,없음,12,예금
1119,BNK저축은행,삼삼한정기예금(회전정기예금)(1년단위 변동금리),,3.90%,3.90%,제한없음,복리,해당없음,"영업점,인터넷,스마트폰",* 1개월내 : 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용* 1개월이후: 보통예금 금리 적용,없음,12,예금
1120,BNK저축은행,"정기예금(비대면,인터넷,모바일)",,3.90%,3.90%,제한없음,단리,해당없음,"인터넷,스마트폰",* 1개월내 : 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용* 1개월이후: 보통예금 금리 적용,없음,12,예금
1121,BNK저축은행,"정기예금(비대면,인터넷,모바일)",,3.90%,3.90%,제한없음,복리,해당없음,"인터넷,스마트폰",* 1개월내 : 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용* 1개월이후: 보통예금 금리 적용,없음,12,예금
1122,CK저축은행,"정기예금(인터넷,모바일,비대면)",,3.90%,3.90%,제한없음,단리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,스마트폰 및 인터넷 전용가입,12,예금
1123,CK저축은행,"정기예금(인터넷,모바일,비대면)",,3.90%,3.90%,제한없음,복리,없음,"인터넷,스마트폰",- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,스마트폰 및 인터넷 전용가입,12,예금
1124,JT저축은행,정기예금,,3.80%,3.90%,제한없음,단리,-자동만기연장 가입 등 0.1% 금리우대 (12개월이상),영업점,-1개월 이내 : 예치시점 약정금리-1개월 초과 : 0.1%,현금IC카드 발급 불가 상품,12,예금
1125,JT저축은행,정기예금,,3.80%,3.90%,제한없음,복리,-자동만기연장 가입 등 0.1% 금리우대 (12개월이상),영업점,-1개월 이내 : 예치시점 약정금리-1개월 초과 : 0.1%,현금IC카드 발급 불가 상품,12,예금
1126,MS저축은행,e-정기예금,,3.90%,3.90%,인터넷뱅킹 및 스마트폰 뱅킹 신청자,단리,없음,"인터넷,스마트폰",- 1개월내 : 당초 약정금리와 당초 약정기간에 해당하는 현행금리 중 낮은 금리- 1개월이후 : 보통예금이자율,해당없음,12,예금
1127,MS저축은행,e-정기예금,,3.90%,3.90%,인터넷뱅킹 및 스마트폰 뱅킹 신청자,복리,없음,"인터넷,스마트폰",- 1개월내 : 당초 약정금리와 당초 약정기간에 해당하는 현행금리 중 낮은 금리- 1개월이후 : 보통예금이자율,해당없음,12,예금
1128,대한저축은행,정기예금(인터넷뱅킹),,3.85%,3.85%,제한없음,복리,없음,"인터넷,스마트폰",- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리- 만기후 1개월초과 : 보통예금 금리,해당없음,12,예금
1129,대한저축은행,정기예금(인터넷뱅킹),,3.85%,3.85%,제한없음,단리,없음,"인터넷,스마트폰",- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리- 만기후 1개월초과 : 보통예금 금리,해당없음,12,예금
1130,더블저축은행,정기예금,,3.85%,3.85%,제한없음,복리,없음,영업점,*만기경과 1개월이내 : - 해당 약정기간 정기예금 현행이율*만기경과 1개월이후 : 보통예금 이율,예금자보호한도외 기타사항 없음,12,예금
1131,더블저축은행,정기예금,,3.85%,3.85%,제한없음,단리,없음,영업점,*만기경과 1개월이내 : - 해당 약정기간 정기예금 현행이율*만기경과 1개월이후 : 보통예금 이율,예금자보호한도외 기타사항 없음,12,예금
1132,더블저축은행,"정기예금(인터넷뱅킹,스마트뱅킹)",,3.85%,3.85%,제한없음,단리,없음,"인터넷,스마트폰",*만기경과 1개월이내 : - 해당 약정기간 정기예금 현행이율*만기경과 1개월이후 : 보통예금 이율,예금자보호한도외 기타사항 없음,12,예금
1133,더블저축은행,"정기예금(인터넷뱅킹,스마트뱅킹)",,3.85%,3.85%,제한없음,복리,없음,"인터넷,스마트폰",*만기경과 1개월이내 : - 해당 약정기간 정기예금 현행이율*만기경과 1개월이후 : 보통예금 이율,예금자보호한도외 기타사항 없음,12,예금
1134,스마트저축은행,정기예금,,3.85%,3.85%,제한없음,단리,해당없음,영업점,○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율○ 만기후 1개월이후 : 0.3%,가입한도 없음,12,예금
1135,스마트저축은행,정기예금,,3.85%,3.85%,제한없음,복리,해당없음,영업점,○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율○ 만기후 1개월이후 : 0.3%,가입한도 없음,12,예금
1136,애큐온저축은행,3-UP정기예금,,3.85%,3.85%,제한없음,단리,없음,"영업점,인터넷,스마트폰",만기후 1개월 이내 해지 시 : 각 구간별 약정금리의 평균금리(2019.07.01 신규부터 적용)만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용),"가입금액 1백만원이상가입기간 12개월(가입후 매3개월 단위로 구간별 약정이율 변동)약정이율 : 3.85%(평균금리)(1구간 2.4%, 2구간 3.4%, 3구간 4.6%, 4구간 5.0%) 중도해지이율 : 경과한 구간은 구간별 약정금리 + 잔여경과일수의 보통예금금리 제공(3개월미만은 보통예금금리 이자율 적용)",12,예금
1137,애큐온저축은행,3-UP정기예금,,3.85%,3.85%,제한없음,복리,없음,"영업점,인터넷,스마트폰",만기후 1개월 이내 해지 시 : 각 구간별 약정금리의 평균금리(2019.07.01 신규부터 적용)만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용),"가입금액 1백만원이상가입기간 12개월(가입후 매3개월 단위로 구간별 약정이율 변동)약정이율 : 3.85%(평균금리)(1구간 2.4%, 2구간 3.4%, 3구간 4.6%, 4구간 5.0%) 중도해지이율 : 경과한 구간은 구간별 약정금리 + 잔여경과일수의 보통예금금리 제공(3개월미만은 보통예금금리 이자율 적용)",12,예금
1138,애큐온저축은행,3-UP정기예금(모바일),,3.85%,3.85%,제한없음,단리,-,스마트폰,만기후 1개월 이내 해지 시 : 각 구간별 약정금리의 평균금리(2019.07.01 신규부터 적용)만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용),"가입금액 1백만원이상가입기간 12개월(가입후 매3개월 단위로 구간별 약정이율 변동)약정이율 : 3.85%(평균금리)(1구간 2.4%, 2구간 3.4%, 3구간 4.6%, 4구간 5.0%) 중도해지이율 : 경과한 구간은 구간별 약정금리 + 잔여경과일수의 보통예금금리 제공(3개월미만은 보통예금금리 이자율 적용)",12,예금
1139,애큐온저축은행,3-UP정기예금(모바일),,3.85%,3.85%,제한없음,복리,-,스마트폰,만기후 1개월 이내 해지 시 : 각 구간별 약정금리의 평균금리(2019.07.01 신규부터 적용)만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용),"가입금액 1백만원이상가입기간 12개월(가입후 매3개월 단위로 구간별 약정이율 변동)약정이율 : 3.85%(평균금리)(1구간 2.4%, 2구간 3.4%, 3구간 4.6%, 4구간 5.0%) 중도해지이율 : 경과한 구간은 구간별 약정금리 + 잔여경과일수의 보통예금금리 제공(3개월미만은 보통예금금리 이자율 적용)",12,예금
1140,에스앤티저축은행,정기예금,,3.85%,3.85%,제한없음,복리,없음,영업점,-만기 후 1개월 이내 : 가입당시 약정금리-만기 후 1개월 초과 : 0.20% (보통예금 금리적용),"예금자보호법에 의해 원리금 기준 5,000만원까지 보호",12,예금
1141,에스앤티저축은행,정기예금,,3.85%,3.85%,제한없음,단리,없음,영업점,-만기 후 1개월 이내 : 가입당시 약정금리-만기 후 1개월 초과 : 0.20% (보통예금 금리적용),"예금자보호법에 의해 원리금 기준 5,000만원까지 보호",12,예금
1142,에스앤티저축은행,정기예금(비대면),,3.85%,3.85%,제한없음,단리,없음,"인터넷,스마트폰",-만기 후 1개월 이내 : 가입당시 약정금리-만기 후 1개월 초과 : 0.20% (보통예금 금리적용),"예금자보호법에 의해 원리금 기준 5,000만원까지 보호",12,예금
1143,에스앤티저축은행,정기예금(비대면),,3.85%,3.85%,제한없음,복리,없음,"인터넷,스마트폰",-만기 후 1개월 이내 : 가입당시 약정금리-만기 후 1개월 초과 : 0.20% (보통예금 금리적용),"예금자보호법에 의해 원리금 기준 5,000만원까지 보호",12,예금
1144,참저축은행,e-정기예금,,3.85%,3.85%,제한없음,단리,없음,"인터넷,스마트폰",*만기 후 1개월 간 : 가입이율과 만기일 당시 기간별 정기예금이율 중 낮은 단리 이율 ＊만기후 1개월초과 : 보통예금 이율 * 적용대상 : 19.07.01 신규가입자부터 적용 (이전가입자는 영업점 확인요망),"인터넷뱅킹, SB톡톡플러스 로그인 시",12,예금
1145,참저축은행,e-정기예금,,3.85%,3.85%,제한없음,복리,없음,"인터넷,스마트폰",*만기 후 1개월 간 : 가입이율과 만기일 당시 기간별 정기예금이율 중 낮은 단리 이율 ＊만기후 1개월초과 : 보통예금 이율 * 적용대상 : 19.07.01 신규가입자부터 적용 (이전가입자는 영업점 확인요망),"인터넷뱅킹, SB톡톡플러스 로그인 시",12,예금
1146,HB저축은행,스마트회전정기예금,,3.85%,3.85%,제한없음,복리,해당사항없음,스마트폰,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,스마트폰가입 전용상품 / 계약기간 : 36개월 (회전주기 12개월),12,예금
1147,HB저축은행,스마트회전정기예금,,3.85%,3.85%,제한없음,단리,해당사항없음,스마트폰,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,스마트폰가입 전용상품 / 계약기간 : 36개월 (회전주기 12개월),12,예금
1148,HB저축은행,e-회전정기예금,,3.85%,3.85%,제한없음,복리,해당사항없음,인터넷,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,인터넷가입 전용상품 / 계약기간 : 36개월 (회전주기 12개월),12,예금
1149,HB저축은행,e-회전정기예금,,3.85%,3.85%,제한없음,단리,해당사항없음,인터넷,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,인터넷가입 전용상품 / 계약기간 : 36개월 (회전주기 12개월),12,예금
1150,스마트저축은행,e-로운 정기예금,,3.82%,3.82%,제한없음,단리,해당없음,스마트폰,○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율○ 만기후 1개월이후 : 0.3%,가입채널 제한(스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,12,예금
1151,스마트저축은행,e-로운 정기예금,,3.82%,3.82%,제한없음,복리,해당없음,스마트폰,○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율○ 만기후 1개월이후 : 0.3%,가입채널 제한(스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,12,예금
1152,스마트저축은행,e-정기예금,,3.82%,3.82%,제한없음,복리,해당없음,"인터넷,스마트폰",○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율○ 만기후 1개월이후 : 0.3%,"가입채널 제한(인터넷, 스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.",12,예금
1153,스마트저축은행,e-정기예금,,3.82%,3.82%,제한없음,단리,해당없음,"인터넷,스마트폰",○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율○ 만기후 1개월이후 : 0.3%,"가입채널 제한(인터넷, 스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.",12,예금
1154,상상인저축은행,뱅뱅뱅 정기예금,,3.81%,3.81%,제한없음,단리,없음,스마트폰,[2019년 7월 1일 이전 신규]연 0.1% (세전)[2019년 7월 1일 신규분부터]- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.1% (세전),없음,12,예금
1155,상상인저축은행,비대면 정기예금,,3.81%,3.81%,제한없음,단리,없음,스마트폰,[2019년 7월 1일 이전 신규]연 0.1% (세전)[2019년 7월 1일 신규분부터]- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.1% (세전),없음,12,예금
1156,상상인저축은행,정기예금,,3.81%,3.81%,제한없음,복리,없음,영업점,[2019년 7월 1일 이전 신규]연 0.1% (세전)[2019년 7월 1일 신규분부터]- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.1% (세전),없음,12,예금
1157,상상인저축은행,e-정기예금,,3.81%,3.81%,제한없음,복리,없음,"인터넷,스마트폰",[2019년 7월 1일 이전 신규]연 0.1% (세전)[2019년 7월 1일 신규분부터]- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.1% (세전),없음,12,예금
1158,상상인저축은행,e-정기예금,,3.81%,3.81%,제한없음,단리,없음,"인터넷,스마트폰",[2019년 7월 1일 이전 신규]연 0.1% (세전)[2019년 7월 1일 신규분부터]- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.1% (세전),없음,12,예금
1159,OK저축은행,OK e-안심앱플러스정기예금(변동금리),,3.81%,3.81%,실명의 개인,복리,없음,스마트폰,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과: 연0.1%",*OK저축은행 모바일뱅킹앱 전용상품*3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,12,예금
1160,OK저축은행,OK e-안심앱플러스정기예금(변동금리),,3.81%,3.81%,실명의 개인,단리,없음,스마트폰,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과: 연0.1%",*OK저축은행 모바일뱅킹앱 전용상품*3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,12,예금
1161,OK저축은행,OK e-안심정기예금(변동금리),,3.81%,3.81%,제한없음,단리,없음,"인터넷,스마트폰","만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,12,예금
1162,OK저축은행,OK e-안심정기예금(변동금리),,3.81%,3.81%,제한없음,복리,없음,"인터넷,스마트폰","만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,12,예금
1163,OK저축은행,OK안심정기예금(변동금리),,3.81%,3.81%,제한없음,복리,없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,12,예금
1164,OK저축은행,OK안심정기예금(변동금리),,3.81%,3.81%,제한없음,단리,없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,12,예금
1165,다올저축은행,Fi 하이브리드 정기예금 (대면),,2.30%,3.80%,제한없음,복리,없음,영업점,- 1개월 까지 : 당초 기본금리와 만기시점 기본금리를 비교하여 낮은 금리 적용- 1개월 초과 : 연0.1%,"* 하루만 맡겨도 기본금리 적용, 만기시에는 추가금리가 더해지는 12개월 정기예금*중도해지이율 : 기본금리*만기해지이율 : 기본금리+추가금리",12,예금
1166,OK저축은행,OK e-안심앱플러스정기예금(변동금리),,3.81%,3.81%,실명의 개인,단리,없음,스마트폰,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과: 연0.1%",*OK저축은행 모바일뱅킹앱 전용상품*3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,24,예금
1167,OK저축은행,OK e-안심앱플러스정기예금(변동금리),,3.81%,3.81%,실명의 개인,복리,없음,스마트폰,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과: 연0.1%",*OK저축은행 모바일뱅킹앱 전용상품*3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,24,예금
1168,OK저축은행,OK e-안심정기예금(변동금리),,3.81%,3.81%,제한없음,단리,없음,"인터넷,스마트폰","만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,24,예금
1169,OK저축은행,OK e-안심정기예금(변동금리),,3.81%,3.81%,제한없음,복리,없음,"인터넷,스마트폰","만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,24,예금
1170,OK저축은행,OK안심정기예금(변동금리),,3.81%,3.81%,제한없음,복리,없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,24,예금
1171,OK저축은행,OK안심정기예금(변동금리),,3.81%,3.81%,제한없음,단리,없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,24,예금
1172,디비저축은행,M-DreamBig 정기예금(12개월회전/모바일),,3.80%,3.80%,실명의 개인,복리,최고우대금리 : 0.1% / 기본이율* + 0.2% (*기본이율: 가입시 12개월 정기예금 고시이율) / 회전주기(매 금리변경일)경과후 해지시 ①신규일부터 회전일까지는 약정이율 적용②회전주기일부터 중도해지 전일까지는 중도해지이율 적용,스마트폰,1개월 이하: 최종회전일 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율1개월 초과: 0.1%,"최소가입금액: 10만원 이상 / 가입채널: 스마트뱅킹, SB톡톡+",24,예금
1173,디비저축은행,M-DreamBig 정기예금(12개월회전/모바일),,3.80%,3.80%,실명의 개인,단리,최고우대금리 : 0.1% / 기본이율* + 0.2% (*기본이율: 가입시 12개월 정기예금 고시이율) / 회전주기(매 금리변경일)경과후 해지시 ①신규일부터 회전일까지는 약정이율 적용②회전주기일부터 중도해지 전일까지는 중도해지이율 적용,스마트폰,1개월 이하: 최종회전일 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율1개월 초과: 0.1%,"최소가입금액: 10만원 이상 / 가입채널: 스마트뱅킹, SB톡톡+",24,예금
1174,JT친애저축은행,비대면 회전식 정기예금,,3.80%,3.80%,제한없음,단리,없음,"인터넷,스마트폰",-1개월 이내 해지시 : 약정이율 적용-1개월 초과 이후 해지시 : 보통예금 금리 적용,1. 가입기간 : 36개월 ~ 60개월만 가능2. 적용금리(약정금리)- 가입시점 : 개설일 기준의 영업점 및 홈페이지에 고시한 이율적용- 회전기간 도래시점 : 회전당일 기준의 영업점 및 홈페이지에 고시한 이율적용3. 중도해지이자율 - 기간별 차등적용(당사홈페이지 참조),24,예금
1175,JT친애저축은행,비대면 회전식 정기예금,,3.80%,3.80%,제한없음,복리,없음,"인터넷,스마트폰",-1개월 이내 해지시 : 약정이율 적용-1개월 초과 이후 해지시 : 보통예금 금리 적용,1. 가입기간 : 36개월 ~ 60개월만 가능2. 적용금리(약정금리)- 가입시점 : 개설일 기준의 영업점 및 홈페이지에 고시한 이율적용- 회전기간 도래시점 : 회전당일 기준의 영업점 및 홈페이지에 고시한 이율적용3. 중도해지이자율 - 기간별 차등적용(당사홈페이지 참조),24,예금
1176,고려저축은행,회전정기예금(비대면),,3.75%,3.75%,비거주 외국인 외 제한없음,단리,-,"인터넷,스마트폰",*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)*2019.07.01 가입분부터 1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율1개월초과: 보통예금이자율(현재0.1%),-,24,예금
1177,고려저축은행,회전정기예금(비대면),,3.75%,3.75%,비거주 외국인 외 제한없음,복리,-,"인터넷,스마트폰",*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)*2019.07.01 가입분부터 1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율1개월초과: 보통예금이자율(현재0.1%),-,24,예금
1178,고려저축은행,GPS 회전정기예금(비대면),,3.75%,3.75%,비거주 외국인 외 제한없음,복리,-,"인터넷,스마트폰",*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)*2019.07.01 가입분부터 1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율1개월초과: 보통예금이자율(현재0.1%),-,24,예금
1179,고려저축은행,GPS 회전정기예금(비대면),,3.75%,3.75%,비거주 외국인 외 제한없음,단리,-,"인터넷,스마트폰",*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)*2019.07.01 가입분부터 1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율1개월초과: 보통예금이자율(현재0.1%),-,24,예금
1180,페퍼저축은행,부천사랑 회전정기예금 (1년단위 변동금리상품) (부천지점 창구전용),,3.75%,3.75%,제한없음,복리,*매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리). 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용.,영업점,* 만기 후 1개월 이내 기간 : 최종 회전이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용* 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용,최소가입금액: 10만원 이상,24,예금
1181,페퍼저축은행,부천사랑 회전정기예금 (1년단위 변동금리상품) (부천지점 창구전용),,3.75%,3.75%,제한없음,단리,*매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리). 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용.,영업점,* 만기 후 1개월 이내 기간 : 최종 회전이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용* 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용,최소가입금액: 10만원 이상,24,예금
1182,페퍼저축은행,페퍼스 회전정기예금 (디지털페퍼앱) (1년단위 변동금리상품),,3.75%,3.75%,실명의 개인,복리,*매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리). 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용.,스마트폰,* 만기 후 1개월 이내 기간 : 최종 회전이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용* 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용,비대면 전용상품최소가입금액: 10만원 이상,24,예금
1183,페퍼저축은행,페퍼스 회전정기예금 (디지털페퍼앱) (1년단위 변동금리상품),,3.75%,3.75%,실명의 개인,단리,*매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리). 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용.,스마트폰,* 만기 후 1개월 이내 기간 : 최종 회전이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용* 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용,비대면 전용상품최소가입금액: 10만원 이상,24,예금
1184,페퍼저축은행,평촌사랑 회전정기예금 (1년단위 변동금리상품) (평촌지점 창구전용),,3.75%,3.75%,제한없음,단리,*매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리). 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용.,영업점,* 만기 후 1개월 이내 기간 : 최종 회전이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용* 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용,최소가입금액: 10만원 이상,24,예금
