은행,상품명,적립방식,금리,최고우대금리,이자계산방식,우대조건,가입대상,가입방법,만기후금리,유의사항,저축기간
대백저축은행,꿈나무정기적금,정액적립식,3.9,3.9,단리,해당없음,만13세미만어린이,영업점,1개월이내-약정이율과 현행이율중 낮은이율1개월 초과-보통예금이율(0.2%),해당없음,36
대백저축은행,정기적금,정액적립식,3.9,3.9,단리,해당없음,만13세 미만어린이,영업점,*1개월이내-약정이율과 현행이율중 낮은이율 *1개월 초과-보통예금이율(0.2%),해당없음,36
삼정저축은행,정기적금,정액적립식,3.9,3.9,단리,없음,제한없음,영업점,-1개월이내: 계약일 당시 약정이율과 계약 만기시 약정이율 중 낮은 이율-1개월초과: 보통예금 이율,없음,36
삼정저축은행,e-정기적금,정액적립식,3.9,3.9,단리,없음,제한없음,인터넷,-1개월이내: 계약일 당시 약정이율과 계약 만기시 약정이율 중 낮은 이율-1개월초과: 보통예금 이율,없음,36
삼정저축은행,s-정기적금,정액적립식,3.9,3.9,단리,없음,제한없음,스마트폰,-1개월이내: 계약일 당시 약정이율과 계약 만기시 약정이율 중 낮은 이율-1개월초과: 보통예금 이율,없음,36
스카이저축은행,b-정기적금,정액적립식,3.9,3.9,단리,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,제한없음,인터넷/스마트폰,없음,최소금액:1만원이상,36
스카이저축은행,b-정기적금,정액적립식,3.9,3.9,복리,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,제한없음,인터넷/스마트폰,없음,최소금액:1만원이상,36
스카이저축은행,e-정기적금,정액적립식,3.9,3.9,복리,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,제한없음,인터넷/스마트폰,없음,최소금액:1만원이상,36
스카이저축은행,e-정기적금,정액적립식,3.9,3.9,단리,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,제한없음,인터넷/스마트폰,없음,최소금액:1만원이상,36
HB저축은행,스마트 정기적금,정액적립식,3.9,3.9,단리,해당사항없음,제한없음,스마트폰,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,스마트폰가입 전용상품,36
HB저축은행,스마트 정기적금,정액적립식,3.9,3.9,복리,해당사항없음,제한없음,스마트폰,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,스마트폰가입 전용상품,36
HB저축은행,e-정기적금,정액적립식,3.9,3.9,복리,해당사항없음,제한없음,인터넷,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,인터넷가입 전용상품,36
HB저축은행,e-정기적금,정액적립식,3.9,3.9,단리,해당사항없음,제한없음,인터넷,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,인터넷가입 전용상품,36
스카이저축은행,정기적금,정액적립식,3.8,3.8,복리,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,제한없음,영업점,없음,최소금액:1만원이상,36
스카이저축은행,정기적금,정액적립식,3.8,3.8,단리,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,제한없음,영업점,없음,최소금액:1만원이상,36
안국저축은행,정기적금,정액적립식,3.8,3.8,단리,없음,제한없음,영업점,0.002,없음,36
안국저축은행,정기적금(비대면),정액적립식,3.8,3.8,단리,없음,제한없음,스마트폰,0.002,없음,36
안국저축은행,e-정기적금,정액적립식,3.8,3.8,단리,없음,제한없음,인터넷/스마트폰,0.002,없음,36
인성저축은행,정기적금,정액적립식,3.8,3.8,단리,없음,제한없음,영업점,-보통예금이율 0.1%,-없음,36
인성저축은행,e-정기적금,정액적립식,3.8,3.8,단리,없음,만 19세 이상,인터넷/스마트폰,-보통예금이율 0.1%,-통장을 발급하지 않는 온라인 전용상품으로 영업점 해지시 우대금리 적용불가,36
키움예스저축은행,키워드림 e-정기적금 (인터넷뱅킹/ 스마트뱅킹),정액적립식,3.8,3.8,단리,-,제한없음,인터넷/스마트폰,*만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율*만기후 1개월 초과 : 만기시점 보통예금 이율,-,36
키움예스저축은행,SB톡톡 키워드림 정기적금 (비대면),정액적립식,3.8,3.8,단리,-,제한없음,스마트폰,*만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율*만기후 1개월 초과 : 만기시점 보통예금 이율,-,36
하나저축은행,정기적금,정액적립식,3.7,3.8,복리,* 최고우대금리 : 2.4% - 인터넷/스마트뱅킹/모바일브랜치/SB톡톡(비대면)가입시 : 0.1% 사회적배려대상 고객가입시 (영업점 가입/1인 1계좌(활동좌)/월 불입금 50만원 까지) :2.4% ※ 단위는 연%p,제한없음,영업점/인터넷/스마트폰,-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1..최저 가입금액 : 1만원이상2. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율-1개월이상~12개월미만(차등율:60%)-12개월이상~24개월미만(차등율:70%)-24개월 이상(차등율 80%),36
하나저축은행,정기적금,정액적립식,3.7,3.8,단리,* 최고우대금리 : 2.4% - 인터넷/스마트뱅킹/모바일브랜치/SB톡톡(비대면)가입시 : 0.1% 사회적배려대상 고객가입시 (영업점 가입/1인 1계좌(활동좌)/월 불입금 50만원 까지) :2.4% ※ 단위는 연%p,제한없음,영업점/인터넷/스마트폰,-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1..최저 가입금액 : 1만원이상2. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율-1개월이상~12개월미만(차등율:60%)-12개월이상~24개월미만(차등율:70%)-24개월 이상(차등율 80%),36
하나저축은행,정기적금,정액적립식,3.8,3.8,단리,없음,제한없음,인터넷/스마트폰,-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1..최저 가입금액 : 1만원이상2. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율-1개월이상~12개월미만(차등율:60%)-12개월이상~24개월미만(차등율:70%)-24개월 이상(차등율 80%),36
하나저축은행,정기적금,정액적립식,3.8,3.8,복리,없음,제한없음,인터넷/스마트폰,-1개월 이내 :가입 당시 약정금리-1개월 초과 : 현행 고시 보통예금 금리,1..최저 가입금액 : 1만원이상2. 중도해지금리-1개월미만 : 보통예금 금리 -1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율-1개월이상~12개월미만(차등율:60%)-12개월이상~24개월미만(차등율:70%)-24개월 이상(차등율 80%),36
KB저축은행,KB착한e-Plus정기적금,정액적립식,3.7,3.8,복리,-KB스타클럽 고객 연0.1%p적용. 단/ 베스트/ 그랜드/ VIP/VVIP등급 적용,제한없음,인터넷/스마트폰,- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상~100만원이하- KB착한정기적금과 납입한도 합산 적용,36
KB저축은행,KB착한e-Plus정기적금,정액적립식,3.7,3.8,단리,-KB스타클럽 고객 연0.1%p적용. 단/ 베스트/ 그랜드/ VIP/VVIP등급 적용,제한없음,인터넷/스마트폰,- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상~100만원이하- KB착한정기적금과 납입한도 합산 적용,36
KB저축은행,KB착한정기적금,정액적립식,3.6,3.8,복리,- 인터넷뱅킹 신규가입하여 출금계좌를 등록한 후 당일 창구 신규시 우대금리 연 0.1%p적용. 단/ 신규가입일 포함 14일 이내 타기관 공인인증서 미등록시 우대금리 적용해제 -KB스타클럽 고객 연0.1%p적용. 단/ 베스트/ 그랜드/ VIP/VVIP등급 적용,제한없음,영업점,- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상~100만원이하- Kbe-Plus착한정기적금과 납입한도 합산 적용,36
KB저축은행,KB착한정기적금,정액적립식,3.6,3.8,단리,- 인터넷뱅킹 신규가입하여 출금계좌를 등록한 후 당일 창구 신규시 우대금리 연 0.1%p적용. 단/ 신규가입일 포함 14일 이내 타기관 공인인증서 미등록시 우대금리 적용해제 -KB스타클럽 고객 연0.1%p적용. 단/ 베스트/ 그랜드/ VIP/VVIP등급 적용,제한없음,영업점,- 1개월이내 : 신규가입일 당시 약정이율과 만기일 현재 고시이율 중 낮은 이율- 1개월초과 : 보통예금이율,- 12~36개월- 가입금액: 1만원이상~100만원이하- Kbe-Plus착한정기적금과 납입한도 합산 적용,36
OSB저축은행,정기적금,정액적립식,3.8,3.8,단리,없음,제한없음,영업점/인터넷/스마트폰,- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용- 만기 후 1개월 경과: 보통예금 금리(0.2%),-월 불입금 1만원 이상-6개월 이상 ~ 60개월 까지 (월 단위 가능)-만기시 이자지급,36
삼호저축은행,정기적금,자유적립식,3.7,3.7,단리,없음,제한없음,영업점,만기후 1개월 이내 해지시 약정금리 적용/ 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2020.7월27일 현재 보통예금 이율 0.5%),없음,36
삼호저축은행,정기적금,자유적립식,3.7,3.7,단리,없음,제한없음,인터넷/스마트폰,만기후 1개월 이내 해지시 약정금리 적용/ 만기후 1개월 초과 이후 해지시 보통예금 이율적용(2020.7월27일 현재 보통예금 이율 0.5%),없음,36
융창저축은행,정기적금,정액적립식,3.7,3.7,단리,없음,제한없음,영업점,- 만기 후 1개월 이하: 적금 계좌의 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율 적용- 만기 후 1개월 초과:0.2%,없음,36
융창저축은행,e정기적금,정액적립식,3.7,3.7,단리,없음,제한없음,인터넷/스마트폰,- 만기 후 1개월 이하: 적금 계좌의 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율 적용- 만기 후 1개월 초과:0.2%,없음,36
융창저축은행,SB톡톡 정기적금,정액적립식,3.7,3.7,단리,없음,제한없음,스마트폰,- 만기 후 1개월 이하: 적금 계좌의 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율 적용- 만기 후 1개월 초과:0.2%,없음,36
키움예스저축은행,키워드림 정기적금,정액적립식,3.7,3.7,단리,*인터넷뱅킹/ 스마트뱅킹/ 비대면 가입시 우대금리 적용,제한없음,영업점,*만기후 1개월 이내 : 당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율*만기후 1개월 초과 : 만기시점 보통예금 이율,-,36
HB저축은행,정기적금,정액적립식,3.7,3.7,복리,해당사항없음,제한없음,영업점,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,영업점 가입 전용상품,36
HB저축은행,정기적금,정액적립식,3.7,3.7,단리,해당사항없음,제한없음,영업점,- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 - 만기 후 1개월 초과: 보통예금 금리,영업점 가입 전용상품,36
대한저축은행,정기적금,자유적립식,3.6,3.6,단리,없음,만19세 미만의 청소년만 가입가능,영업점,- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리 - 만기후 1개월초과 : 보통예금 금리,창구에서만 가입가능,36
대한저축은행,정기적금,정액적립식,3.6,3.6,단리,없음,제한없음,영업점,- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리- 만기후 1개월초과 : 보통예금 금리,해당없음,36
대한저축은행,정기적금-인터넷,정액적립식,3.6,3.6,단리,없음,제한없음,인터넷/스마트폰,- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리- 만기후 1개월초과 : 보통예금 금리,해당없음,36
민국저축은행,정기적금,정액적립식,3.6,3.6,단리,- 없음,개인,스마트폰,- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리- 1개월 이후 : 보통예금 금리 적용,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,36
민국저축은행,정기적금,정액적립식,3.5,3.6,단리,* 최대우대금리 : 0.1% - 3명 이상 창구 방문하여 1년이상 적금 가입시 : 연 0.1% - 적금 만기해지 후 1년이상 정기예금 및 적금 신규 가입시 : 연 0.1%,제한없음,영업점,- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리- 1개월 이후 : 보통예금 금리 적용,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,36
민국저축은행,정기적금,정액적립식,3.6,3.6,단리,- 없음,개인,모집인,- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리- 1개월 이후 : 보통예금 금리 적용,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,36
민국저축은행,정기적금,정액적립식,3.6,3.6,단리,- 없음,개인,인터넷,- 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은 금리- 1개월 이후 : 보통예금 금리 적용,- 중도해지 시 가입 기간에 따라 중도해지이율이 다르게 적용됩니다.,36
부림저축은행,아이사랑 정기적금,정액적립식,3.6,3.6,단리,미취학아동과 부모님이 함께 가입하는 경우,미취학아동과 부모님이 함께 가입,영업점,- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리- 만기후 1개월 초과 : 연 0.25%,.,36
평택저축은행,정기적금,정액적립식,3.6,3.6,단리,해당없음,제한없음,영업점,1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율/ 1개월 초과 → 보통예금 이율,보호금융상품 1인당 최고 5천만원,36
평택저축은행,정기적금,정액적립식,3.6,3.6,단리,해당없음,제한없음,영업점,1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율/ 1개월 초과 → 보통예금 이율,보호금융상품 1인당 최고 5천만원,36
평택저축은행,정기적금-인터넷,정액적립식,3.6,3.6,단리,해당없음,제한없음,인터넷,1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율/ 1개월 초과 → 보통예금 이율,보호금융상품 1인당 최고 5천만원,36
유안타저축은행,e-정기적금,정액적립식,3.55,3.55,단리,없음,제한없음,인터넷/스마트폰,만기후 1개월이하:약정금리와 현행금리 중 낮은 금리만기후 1개월초과:현행 보통예금금리,없음,36
한화저축은행,정기적금,정액적립식,3.55,3.55,단리,-,인터넷뱅킹/ 스마트폰뱅킹 전용,인터넷/스마트폰,- 만기 후 1개월 이하: 만기일 현재 금리 적용- 만기 후 1개월 초과: 보통예금 이율,없음,36
한화저축은행,정기적금,정액적립식,3.55,3.55,단리,-,자체앱(Mymo) 전용,스마트폰,- 만기 후 1개월 이하: 만기일 현재 금리 적용- 만기 후 1개월 초과: 보통예금 이율,자체앱(Mymo) 전용,36
대백저축은행,한마음정기적금,정액적립식,3.5,3.5,단리,해당없음,제한없음,영업점,1개월이내-약정이율과 현행이율중 낮은이율1개월 초과-보통예금이율(0.2%),해당없음,36
동양저축은행,정기적금,정액적립식,3.5,3.5,복리,없음,제한없음,영업점,1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,36
동양저축은행,정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,영업점,1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,36
동양저축은행,정기적금(비대면/인터넷뱅킹/스마트폰뱅킹),정액적립식,3.5,3.5,단리,없음,제한없음,인터넷/스마트폰,1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,36
동양저축은행,정기적금(비대면/인터넷뱅킹/스마트폰뱅킹),정액적립식,3.5,3.5,복리,없음,제한없음,인터넷/스마트폰,1개월내: 가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리적용1개월후: 보통예금 금리와 동일,없음,36
모아저축은행,생일축하정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,영업점,- 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리- 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율,- 1인당 가입한도 : 월 30만원 이상,36
모아저축은행,e-모아 정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,인터넷/스마트폰,- 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리- 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율,- 1인당 가입한도 : 계약금액 월 1만원 이상,36
모아저축은행,12干支정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,영업점,- 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리- 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율,- 1인당 가입한도 : 월 30만원 이상,36
세람저축은행,비대면 정기적금,정액적립식,3.5,3.5,단리,-,제한없음,nan,1개월내 : 약정금리와 해당 계약기간의 현행금리 중 낮은 금리 1개월 초과: 보통예금 금리,없음,36
예가람저축은행,정기적금,정액적립식,3.5,3.5,단리,현재 재직중인 직장인 (사원증 및 명함 지참시),재직중인 직장인,영업점,* 만기후 1개월 이내 : 가입당시 약정금리* 만기후 1개월 초과 : 보통예금금리,영업점 전용상품,36
오성저축은행,플러스 정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,영업점,1개월이하-약정금리와 기준금리 중 낮은금리1개월초과-보통예금이율,없음,36
오성저축은행,플러스 정기적금,정액적립식,3.5,3.5,복리,없음,제한없음,영업점,1개월이하-약정금리와 기준금리 중 낮은금리1개월초과-보통예금이율,없음,36
오성저축은행,플러스 정기적금(비대면),정액적립식,3.5,3.5,단리,없음,제한없음,인터넷/스마트폰,1개월이하-약정금리와 기준금리 중 낮은금리1개월초과-보통예금이율,없음,36
오성저축은행,플러스 정기적금(비대면),정액적립식,3.5,3.5,복리,없음,제한없음,인터넷/스마트폰,1개월이하-약정금리와 기준금리 중 낮은금리1개월초과-보통예금이율,없음,36
유안타저축은행,정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,영업점,만기후 1개월이하:약정금리와 현행금리 중 낮은 금리만기후 1개월초과:현행 보통예금금리,없음,36
조흥저축은행,정기적금,정액적립식,3.5,3.5,단리,-,제한없음,영업점,만기후1개월이내 약정금리와 현행고시금리중 낮은 이율1개월초과시 보통예금 이자율 적용,제한없음,36
조흥저축은행,정기적금,정액적립식,3.5,3.5,단리,-,제한없음,인터넷/스마트폰,만기후1개월이내 약정금리와 현행고시금리중 낮은 이율1개월초과시 보통예금 이자율 적용,제한없음,36
키움저축은행,e-plus 정기적금 (인터넷뱅킹/스마트뱅킹),정액적립식,3.5,3.5,단리,없음,개인 및 개인사업자,인터넷/스마트폰,-만기후 1개월 이내당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율-만기후 1개월 초과연 0.2% (신규시점의 보통예금 금리)※2019년 7월 1일 이후 신규 가입 계좌에 한함.,인터넷 가입,36
키움저축은행,SB톡톡정기적금 (비대면),정액적립식,3.5,3.5,단리,없음,제한없음,스마트폰,-만기후 1개월 이내당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율-만기후 1개월 초과연 0.2% (신규시점의 보통예금 금리)※2019년 7월 1일 이후 신규 가입 계좌에 한함.,비대면,36
평택저축은행,정기적금-모바일,정액적립식,3.5,3.5,단리,해당없음,제한없음,스마트폰,1개월이내→당초 약정금리 또는 만기시 동일상품 동일계약기간의 신규 약정금리 중 낮은 이율/ 1개월 초과 → 보통예금 이율,보호금융상품 1인당 최고 5천만원,36
한국투자저축은행,비대면 정기적금,정액적립식,3.5,3.5,단리,- 없음,제한없음,스마트폰,- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.2%,- 없음,36
한국투자저축은행,스마트뱅킹 정기적금,정액적립식,3.5,3.5,단리,- 없음,제한없음,스마트폰,- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.2%,- 없음,36
한국투자저축은행,인터넷정기적금,정액적립식,3.5,3.5,단리,- 없음,제한없음,인터넷,- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.2%,- 없음,36
한국투자저축은행,정기적금,정액적립식,3.5,3.5,단리,- 없음,제한없음,영업점,- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율- 1개월 초과 : 연 0.2%,- 없음,36
한화저축은행,정기적금,정액적립식,3.5,3.5,단리,-,제한없음,영업점,- 만기 후 1개월 이하: 만기일 현재 금리 적용- 만기 후 1개월 초과: 보통예금 이율,없음,36
흥국저축은행,비대면 정기적금,정액적립식,3.5,3.5,복리,없음,제한없음,스마트폰,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36
흥국저축은행,비대면 정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,스마트폰,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36
흥국저축은행,정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,영업점,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36
흥국저축은행,정기적금,정액적립식,3.5,3.5,복리,없음,제한없음,영업점,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36
흥국저축은행,정기적금(자유적립식),자유적립식,3.5,3.5,복리,없음,제한없음,영업점,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36
흥국저축은행,정기적금(자유적립식),자유적립식,3.5,3.5,단리,없음,제한없음,영업점,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36
흥국저축은행,E-정기적금,정액적립식,3.5,3.5,복리,없음,제한없음,인터넷,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36
흥국저축은행,E-정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,인터넷,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36
흥국저축은행,S-정기적금,정액적립식,3.5,3.5,복리,없음,제한없음,스마트폰,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36
흥국저축은행,S-정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,스마트폰,- 1개월 이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은이율- 1개월 초과: 현행 보통예금 이율,없음,36
BNK저축은행,정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,영업점/인터넷/스마트폰,* 1개월내 : 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용* 1개월이후: 보통예금 금리 적용,없음,36
BNK저축은행,정기적금,정액적립식,3.5,3.5,복리,없음,제한없음,영업점/인터넷/스마트폰,* 1개월내 : 당초 약정이율 또는 만기시 동일상품 동일계약기간의 신규 약정이율(단리) 중 낮은 이율 적용* 1개월이후: 보통예금 금리 적용,없음,36
MS저축은행,정기적금,정액적립식,3.5,3.5,단리,없음,제한없음,영업점/인터넷/스마트폰,- 만기후 1개월간은 당초 약정금리와 당초 약정기간에 해당하는 현행금리 중 낮은 금리를 적용하고 만기후 1개월 경과시는 보통예금이자율,없음,36
OSB저축은행,프리스타일적금,자유적립식,3.5,3.5,단리,없음,제한없음,영업점/인터넷/스마트폰,- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용- 만기 후 1개월 경과: 보통예금 금리(0.2%),-월 불입금 1만원 이상-12개월 이상 ~ 36개월 까지 (월 단위 가능)-만기시 이자지급-월중 입금액은 계약금액의 10%를 초과할 수 없으며/ 만기일로부터 1개월 이내는 납입불가,36
금화저축은행,정기적금,자유적립식,3.4,3.4,단리,-,인터넷 및 모바일뱅킹 사용자,인터넷/스마트폰,① 만기 후 1개월 이내 : 약정금리② 만기 후 1개월 초과 : 보통예금 이율 (0.2%),중도해지 이율 - ① 1개월 미만 : 보통예금이율 (0.2%)② 1개월이상~6개월미만 : 약정이율X50%③ 6개월이상~12개월미만 : 약정이율X55%④ 12개월이상~24개월미만 : 약정이율X60%⑤ 24개월이상~60개월미만 : 약정이율X70%,36
더케이저축은행,e-정기적금,정액적립식,3.4,3.4,단리,없음,제한없음,인터넷/스마트폰,-30일 이내 : 약정금리와 현행 고시금리중 낮은 이율-30일 이후 : 보통예금 이율,-인터넷뱅킹/ 스마트폰뱅킹 전용,36
모아저축은행,정기적금,정액적립식,3.4,3.4,단리,없음,제한없음,영업점,- 만기 후 1개월 이내 : 당초 약정이율과 만기시점 동일상품 동일기간제 금리 중 낮은 금리- 만기 후 1개월 초과 : 신규일 시점의 보통예금 이율,- 1인당 가입한도 : 계약금액 월 1만원 이상,36
부림저축은행,정기적금,정액적립식,3.4,3.4,단리,없음,개인 및 법인고객,영업점,- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리- 만기후 1개월 초과 : 연 0.25%,.,36
부림저축은행,톡톡정기적금(비대면),정액적립식,3.4,3.4,단리,없음,개인,스마트폰,- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리- 만기후 1개월 초과 : 연 0.25%,.,36
부림저축은행,e-정기적금,정액적립식,3.4,3.4,단리,인터넷으로 가입,개인 및 법인고객,인터넷/스마트폰,- 만기후 1개월 이내 : 가입당시 약정금리와 현재 금리 비교 후 낮은금리- 만기후 1개월 초과 : 연 0.25%,.,36
예가람저축은행,정기적금,정액적립식,3.4,3.4,단리,만20~39세 고객 (생일기준),만20~39세 고객 (생일기준),영업점,* 만기후 1개월 이내 : 가입당시 약정금리* 만기후 1개월 초과 : 보통예금금리,영업점 전용상품,36
오투저축은행,정기적금,자유적립식,3.4,3.4,단리,-,제한없음,영업점,1. 2019년 7월 1일 이전 신규-보통예금 이율2. 2019년 7월 1일 신규분 부터-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율-1개월 초과: 보통예금 이율,중도해지이율-1개월 미만: 보통예금이율-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%-12개월 이상: 계약일의 계약기간별 약정이율의 70%,36
